id,name,slug,facility_type,status,is_claimed,address,postal_code,latitude,longitude,phone_number,email,website,business_hours,range_length_yards,number_of_lanes,has_pro_shop,has_3d_course,has_field_course,membership_required,membership_price_adult,drop_in_price,equipment_rental_available,lessons_available,lesson_price_range,bow_types_allowed,accessibility,parking_available,post_images,description,city,state
c74def98-4d46-45cd-83db-eebd87f5d3e4,1 Mission Outdoors Archery,1-mission-outdoors-archery-tx,volunteer_club,active,False,12181 TX-195,76542,31.0164893,-97.7540735,+12542379334,justin@1moarchery.com,,,,,False,False,False,False,,,False,False,,,false,false,"[""state-range-photos/texas/1 Mission Outdoors Archery (Killeen).jpg""]","Archery range located in Killeen, TX.",Killeen,Texas
2a650f95-570d-4212-a932-811cba5ff9cb,10 Ring Archery Club,10-ring-archery-club-ga,club,active,False,"703 Bascomb Commercial Pkwy, 104",,,,(678) 919-4776,10ringarcheryclub@gmail.com,https://10ringarcherybookings.square.site/,Monday: Closed; Tuesday-Friday: 12:00pm-8:00pm; Saturday: 10:00am-8:00pm; Sunday: 11:00am-6:00pm,,,False,False,False,False,,$10,False,True,,,false,false,"[""state-range-photos/georgia/10 Ring Archery Club (Woodstock).jpeg""]","Archery range located in Woodstock, GA.",Woodstock,Georgia
7f1faa5b-9954-4885-91a1-606c871f4c13,12-Ring Archery Lanes,12-ring-archery-lanes-wi,commercial,active,False,752 N. Memorial Dr. Ste.B,,,,+19205929290,,,,,,False,False,False,False,,,False,False,,,false,false,"[""state-range-photos/wisconsin/12-Ring Archery Lanes (unknown).jpg""]",,,Wisconsin
a0b53151-989c-4176-b3fd-0c9469f8800f,127 Archery,127-archery-al,volunteer_club,active,False,131 County Road 353,35951,,,+12563026511,goodwinfarms1215@gmail.com,,,,,False,False,False,False,,,False,False,,,false,false,"[""https://mybesthouston.com/wp-content/uploads/2024/06/AF1QipPNW24OPastQ1IPOO2kz6sKI5YSuQosaa_-OLn8w408-h306-k-no.jpg""]",ASA-affiliated 3D archery club. Contact: Lindsey Goodwin.,Albertville,Alabama
0622da12-c5ed-4560-94a1-b02780a22f85,3 16 Archery & Bow Works,3-16-archery-bow-works-az,commercial,active,False,15994 Placer Rd,85123,,,+15208403964,,https://www.316archerybowworks.com,Mon-Fri 4:00 pm-8:00 pm,,,False,False,False,False,,,False,False,,,false,false,"[""state-range-photos/arizona/3 16 Archery  Bow Works (Arizona City).jpg""]","Archery range located in Arizona City, AZ.",Arizona City,Arizona
4fa6cd7a-c336-45c3-bcbf-224c4f137cbd,3-D Country Rockland Archers,3-d-country-rockland-archers-wi,club,active,False,"1713 Chicago St., De Pere, WI 54115",,,,+19203374704,smitsmatt7@hotmail.com,,,,,False,False,False,False,,,False,False,,,false,false,"[""https://i.pinimg.com/originals/26/6b/0f/266b0f3ab8e2a3a18ded7272dce359fe.png""]","Archery range located in De Pere, WI.",De Pere,Wisconsin
a1678864-e549-4f37-ba9d-effaf971f8b0,4 Season's Archery,4-season-s-archery-la,commercial,active,False,"109 Violet Dr, Opelousas, LA 70570",,,,,,,,,,False,False,False,False,,,False,False,,,false,false,"[""state-range-photos/louisiana/4 Seasons Archery (Opelousas).jpg""]","Archery range located in Opelousas, LA.",Opelousas,Louisiana
b6667471-a85e-437a-93e9-1266fd11f260,540-270-2381,540-270-2381-va,commercial,active,False,Augusta Archers,24465,,,,,,,,,False,False,False,False,,,False,False,,,false,false,"[""state-range-photos/virginia/540-270-2381 (Monterey).jpg""]",IBO pro shop (IBO directory).,Monterey,Virginia
2290343b-7880-4de1-bc48-a40dd5473dcb,7 Oaks Archery Club,7-oaks-archery-club-wi,club,active,False,18024 Tibbits Rd,,,,(608) 574-8798,sevenoaksarcheryinc@gmail.com,https://sevenoaksarchery.com/,,,,False,True,False,True,$30 annual single / $45 annual family,$5 non-member shoot nights,True,False,,,false,false,"[""state-range-photos/wisconsin/7 Oaks Archery Club (Mineral Point).jpg""]","Archery range located in Mineral Point, WI.",Mineral Point,Wisconsin
f4a67cb4-0ee8-4dc9-bbf2-4d3a7f1d4c8c,765-717-2903,765-717-2903-in,commercial,active,False,Edwardsburg Conservation Club,46545,,,,,,,,,False,False,False,False,,,False,False,,,false,false,"[""https://irp.cdn-website.com/d97e5359/dms3rep/multi/IMG_8743.jpeg""]",IBO pro shop (IBO directory).,Mishawaka,Indiana
